SSN_ID               WH_ID  LOCN_ID    ISSN_STATUS LAST_UPDATE_DATE 
25910419             FX     RD000009   DS          14-APR-2008      
25910318             FX     RD000009   DS          14-APR-2008      
25910317             FX     RD000009   DS          14-APR-2008      
25910316             FX     RD000009   DS          14-APR-2008      
25910315             FX     RD000009   DS          14-APR-2008      
25910314             FX     RD000009   DS          14-APR-2008      
25910313             FX     RD000009   DS          14-APR-2008      
25910312             FX     RD000009   DS          14-APR-2008      
25910311             FX     RD000009   DS          14-APR-2008      
25910210             FX     RD000009   DS          14-APR-2008      
25910209             FX     RD000009   DS          14-APR-2008      
25910208             FX     RD000009   DS          14-APR-2008      
25910207             FX     RD000009   DS          14-APR-2008      
25910206             FX     RD000009   DS          14-APR-2008      
25910205             FX     RD000009   DS          14-APR-2008      
25910104             FX     RD000009   DS          14-APR-2008      
25910103             FX     RD000009   DS          14-APR-2008      
25910102             FX     RD000009   DS          14-APR-2008      
25910101             FX     RD000009   DS          14-APR-2008      
Database:  192.168.61.164:minder, User: sysdba
