SSN_ID               WH_ID  LOCN_ID    ISSN_STATUS LAST_UPDATE_DATE 
20840101             FX     C5L10101   ST          22-NOV-2007      
20840102             FX     C5L10101   ST          22-NOV-2007      
20840103             FX     C5L10101   ST          22-NOV-2007      
20840104             FX     C5L10101   ST          22-NOV-2007      
20840105             FX     C5L10101   ST          22-NOV-2007      
20840106             FX     C5L10201   ST          22-NOV-2007      
20840107             FX     C5L10201   ST          22-NOV-2007      
20840108             FX     RD000001   PA          22-NOV-2007      
20840109             FX     C5L10201   ST          22-NOV-2007      
20840110             FX     C5L10201   ST          22-NOV-2007      
20840111             FX     C5L10101   ST          22-NOV-2007      
20840121             XX     RD000001   ST          22-NOV-2007      
20840122             FX     RD000001   PA          23-NOV-2007      
20840212             FX     RD000001   PA          22-NOV-2007      
20840213             FX     RD000001   PA          22-NOV-2007      
20840214             FX     RD000001   PA          22-NOV-2007      
20840215             FX     RD000001   PA          22-NOV-2007      
20840216             FX     RD000001   PA          22-NOV-2007      
20840217             FX     RD000001   PA          22-NOV-2007      
20840218             FX     RD000001   PA          22-NOV-2007      
20840219             FX     RD000001   PA          22-NOV-2007      
20840220             FX     RD000001   PA          22-NOV-2007      
20840223             FX     RD000001   PA          23-NOV-2007      
20850101             FX     RD000009   PA          22-NOV-2007      
20850102             FX     C2370203   ST          22-NOV-2007      
20850103             FX     C2060101   ST          22-NOV-2007      
20850204             FX     C2030201   ST          22-NOV-2007      
20850205             FX     C2030103   ST          22-NOV-2007      
20850206             FX     C2030102   ST          22-NOV-2007      
20850207             FX     C2030101   ST          22-NOV-2007      
20850308             FX     C2360101   ST          22-NOV-2007      
20850309             FX     C2360102   ST          22-NOV-2007      
20850310             FX     C2360103   ST          22-NOV-2007      
20850311             FX     C2360104   ST          22-NOV-2007      
20850412             FX     C2360204   ST          22-NOV-2007      
20850413             FX     C2360203   ST          22-NOV-2007      
20850414             FX     C2360202   ST          22-NOV-2007      
20850415             FX     C2360201   ST          22-NOV-2007      
20850516             FX     RD000009   PA          22-NOV-2007      
20850617             FX     RD000009   PA          22-NOV-2007      
20850718             FX     C2030202   ST          22-NOV-2007      
20850719             FX     C2030203   ST          22-NOV-2007      
20850821             FX     C2250301   ST          22-NOV-2007      
20850922             FX     C2020202   ST          22-NOV-2007      
20870101             XX     RD000009   ST          22-NOV-2007      
20870102             FX     RD000009   PA          22-NOV-2007      
20870203             FX     C2120201   ST          22-NOV-2007      
20870304             20     870304     ST          22-NOV-2007      
20870305             FX     C2300301   ST          22-NOV-2007      
20870306             FX     RD000009   PA          22-NOV-2007      
20870307             FX     RD000009   PA          22-NOV-2007      
20870308             FX     C2300304   ST          22-NOV-2007      
20870409             FX     RD000009   PA          22-NOV-2007      
20870510             FX     RD000009   PA          22-NOV-2007      
20870611             FX     RD000009   PA          22-NOV-2007      
20870712             FX     RD000009   PA          22-NOV-2007      
20870713             FX     RD000009   PA          22-NOV-2007      
20870814             FX     RD000009   PA          22-NOV-2007      
20870815             FX     RD000009   PA          22-NOV-2007      
20870916             FX     RD000009   PA          22-NOV-2007      
20871017             FX     RD000009   PA          22-NOV-2007      
20871018             FX     RD000009   PA          22-NOV-2007      
20871019             FX     RD000009   PA          22-NOV-2007      
20871020             FX     RD000009   PA          22-NOV-2007      
20871121             FX     RD000009   PA          22-NOV-2007      
20871122             FX     RD000009   PA          22-NOV-2007      
20871123             FX     RD000009   PA          22-NOV-2007      
20871124             FX     RD000009   PA          22-NOV-2007      
20890101             FX     RD000010   PA          22-NOV-2007      
20910101             XX     RD000001   XX          18-DEC-2007      
20910102             XX     RD000001   XX          18-DEC-2007      
20910103             XX     RD000001   XX          18-DEC-2007      
20910104             XX     RD000001   XX          18-DEC-2007      
20910105             XX     RD000001   XX          18-DEC-2007      
20910106             XX     RD000001   XX          18-DEC-2007      
20910107             XX     RD000001   XX          18-DEC-2007      
20910108             XX     RD000001   XX          18-DEC-2007      
20910109             XX     RD000001   XX          18-DEC-2007      
20910110             XX     RD000001   XX          18-DEC-2007      
20910111             XX     RD000001   XX          18-DEC-2007      
20910112             XX     RD000001   XX          18-DEC-2007      
20910113             XX     RD000001   XX          18-DEC-2007      
20910114             XX     RD000001   XX          18-DEC-2007      
20910115             XX     RD000001   XX          18-DEC-2007      
20910116             XX     RD000001   XX          18-DEC-2007      
20910117             XX     RD000001   XX          18-DEC-2007      
20910118             XX     RD000001   XX          18-DEC-2007      
20910119             XX     RD000001   XX          18-DEC-2007      
20910120             XX     RD000001   XX          18-DEC-2007      
20910121             XX     RD000001   XX          18-DEC-2007      
20910122             XX     RD000001   XX          18-DEC-2007      
20910123             XX     RD000001   XX          18-DEC-2007      
20910124             XX     RD000001   XX          18-DEC-2007      
20910125             XX     RD000001   XX          18-DEC-2007      
20910126             XX     RD000001   XX          18-DEC-2007      
20910127             XX     RD000001   XX          18-DEC-2007      
20910128             XX     RD000001   XX          18-DEC-2007      
20910129             XX     RD000001   XX          18-DEC-2007      
20910130             XX     RD000001   XX          18-DEC-2007      
20910131             XX     RD000001   XX          18-DEC-2007      
20910132             XX     RD000001   XX          18-DEC-2007      
20910133             XX     RD000001   XX          18-DEC-2007      
20910134             XX     RD000001   XX          18-DEC-2007      
20910135             XX     RD000001   XX          18-DEC-2007      
20910136             XX     RD000001   XX          18-DEC-2007      
20910137             XX     RD000001   XX          18-DEC-2007      
20910138             XX     RD000001   XX          18-DEC-2007      
20910139             XX     RD000001   XX          18-DEC-2007      
20920101             XX     RD000001   XX          18-DEC-2007      
20920102             XX     RD000001   XX          18-DEC-2007      
20920103             XX     RD000001   XX          18-DEC-2007      
20920104             XX     RD000001   XX          18-DEC-2007      
20920105             XX     RD000001   XX          18-DEC-2007      
20920106             XX     RD000001   XX          18-DEC-2007      
20920107             XX     RD000001   XX          18-DEC-2007      
20920108             XX     RD000001   XX          18-DEC-2007      
20920109             XX     RD000001   XX          18-DEC-2007      
20920110             XX     RD000001   XX          18-DEC-2007      
20920111             XX     RD000001   XX          18-DEC-2007      
20920112             XX     RD000001   XX          18-DEC-2007      
20920113             XX     RD000001   XX          18-DEC-2007      
20920114             XX     RD000001   XX          18-DEC-2007      
20920115             XX     RD000001   XX          18-DEC-2007      
20930101             FX     C6R10101   ST          23-NOV-2007      
20930102             FX     C6R10101   ST          23-NOV-2007      
20930103             FX     C6R10101   ST          23-NOV-2007      
20930104             FX     C6R10101   ST          23-NOV-2007      
20930105             FX     C6R10101   ST          23-NOV-2007      
20930106             FX     C6R10201   ST          23-NOV-2007      
20930107             FX     C6R10101   ST          23-NOV-2007      
20930108             FX     C6R10201   ST          23-NOV-2007      
20930109             FX     C6R10201   ST          23-NOV-2007      
20930110             FX     C6R10201   ST          23-NOV-2007      
20930111             FX     C6R10201   ST          23-NOV-2007      
20930212             00     00         ST          12-MAR-2008      
20930213             00     00         ST          12-MAR-2008      
20930214             00     00         ST          12-MAR-2008      
20930215             00     00         ST          12-MAR-2008      
20930216             FX     RD000001   PA          23-NOV-2007      
20930217             00     00         ST          12-MAR-2008      
20930218             00     000        ST          12-MAR-2008      
20930219             00     00         ST          12-MAR-2008      
20930220             00     00         ST          12-MAR-2008      
20940101             XX     C3080203   XX          18-DEC-2007      
20940102             XX     C3080202   XX          18-DEC-2007      
20940103             XX     C3080201   XX          18-DEC-2007      
20940104             XX     C3080103   XX          18-DEC-2007      
20940105             XX     C3080102   XX          18-DEC-2007      
20940106             XX     C3080302   XX          18-DEC-2007      
20940107             XX     C3080301   XX          18-DEC-2007      
20940108             XX     C3080303   XX          18-DEC-2007      
20940109             XX     C3080101   XX          18-DEC-2007      
20940110             XX     C3090101   XX          18-DEC-2007      
20940111             XX     C3100102   XX          18-DEC-2007      
20940112             XX     C3100101   XX          18-DEC-2007      
20940213             XX     C3090303   XX          18-DEC-2007      
20940214             XX     C3090302   XX          18-DEC-2007      
20940215             XX     C3090301   XX          18-DEC-2007      
20940216             XX     C3090203   XX          18-DEC-2007      
20940217             XX     C3090202   XX          18-DEC-2007      
20940218             XX     C3090201   XX          18-DEC-2007      
20940219             XX     C3090103   XX          18-DEC-2007      
20940220             XX     C3090102   XX          18-DEC-2007      
20940221             XX     C3080303   XX          18-DEC-2007      
20950101             XX     DDFS0000   XX          18-DEC-2007      
20950102             XX     DDFS0000   XX          18-DEC-2007      
20950103             XX     DDFS0000   XX          18-DEC-2007      
20950104             XX     DDFS0000   XX          18-DEC-2007      
20950105             XX     DDFS0000   XX          18-DEC-2007      
20950106             XX     DDFS0000   XX          18-DEC-2007      
20950107             XX     DDFS0000   XX          18-DEC-2007      
20950108             XX     DDFS0000   XX          18-DEC-2007      
20950109             XX     DDFS0000   XX          18-DEC-2007      
20950110             XX     DDFS0000   XX          18-DEC-2007      
20950111             XX     DDFS0000   XX          18-DEC-2007      
20950112             XX     DDFS0000   XX          18-DEC-2007      
20950113             XX     DDFS0000   XX          18-DEC-2007      
20950114             XX     DDFS0000   XX          18-DEC-2007      
20950115             XX     DDFS0000   XX          18-DEC-2007      
20950116             XX     DDFS0000   XX          18-DEC-2007      
20950117             XX     DDFS0000   XX          18-DEC-2007      
20950118             XX     DDFS0000   XX          18-DEC-2007      
20950119             XX     DDFS0000   XX          18-DEC-2007      
20950120             XX     DDFS0000   XX          18-DEC-2007      
20950121             XX     DDFS0000   XX          18-DEC-2007      
20950122             XX     DDFS0000   XX          18-DEC-2007      
20950123             XX     DDFS0000   XX          18-DEC-2007      
20950124             XX     DDFS0000   XX          18-DEC-2007      
20950125             XX     DDFS0000   XX          18-DEC-2007      
20950126             XX     DDFS0000   XX          18-DEC-2007      
20970101             FX     RD000010   PA          25-NOV-2007      
20970102             FX     RD000010   PA          25-NOV-2007      
20980101             FX     RD000010   PA          25-NOV-2007      
20980202             FX     RD000010   PA          25-NOV-2007      
21000101             XX     RD000001   XX          18-DEC-2007      
21000102             XX     RD000001   XX          18-DEC-2007      
21000103             XX     RD000001   XX          18-DEC-2007      
21000104             XX     RD000001   XX          18-DEC-2007      
21010101             FX     RD000001   PA          26-NOV-2007      
21010102             FX     RD000001   PA          26-NOV-2007      
21010103             FX     RD000001   PA          26-NOV-2007      
21010104             FX     C8R10205   ST          26-NOV-2007      
21010105             FX     C8R10204   ST          26-NOV-2007      
21010106             FX     C8R10206   ST          26-NOV-2007      
21010107             FX     C8L10102   ST          26-NOV-2007      
21010108             FX     RD000001   PA          26-NOV-2007      
21010109             FX     C8L10102   ST          26-NOV-2007      
21010110             FX     C8R10203   ST          26-NOV-2007      
21010111             FX     C8R10107   ST          26-NOV-2007      
21010112             FX     RD000001   PA          26-NOV-2007      
21010113             FX     C8R10101   ST          26-NOV-2007      
21010114             FX     C8R10105   ST          26-NOV-2007      
21010115             FX     C8R10104   ST          26-NOV-2007      
21010116             FX     C8R10103   ST          26-NOV-2007      
21010117             FX     C8R10102   ST          26-NOV-2007      
21010118             FX     C8L10207   ST          26-NOV-2007      
21010119              F     XC8L10206  ST          26-NOV-2007      
21010120             FX     RD000001   PA          26-NOV-2007      
